"ID","Win_Prob","Rating","Rating_time","Index","tables_normed$normed_rating"
"pat_02680_1158",0.75,176,0,1,0.8
"pat_02680_1158",0.75,-157,6,2,-0.713636363636364
"pat_02680_1158",0.75,-47,22,3,-0.213636363636364
"pat_02680_1158",0.75,-158,48,4,-0.718181818181818
"pat_02680_1158",0.5,198,0,1,0.9
"pat_02680_1158",0.5,0,6,2,0
"pat_02680_1158",0.5,0,22,3,0
"pat_02680_1158",0.5,0,48,4,0
"pat_02680_1158",0.25,169,0,1,0.768181818181818
"pat_02680_1158",0.25,0,6,2,0
"pat_02680_1158",0.25,185,22,3,0.840909090909091
"pat_02680_1158",0.25,199,48,4,0.904545454545455
"pat_02680_1158",0.75,-183,0,1,-0.831818181818182
"pat_02680_1158",0.75,-206,6,2,-0.936363636363636
"pat_02680_1158",0.75,-165,22,3,-0.75
"pat_02680_1158",0.75,-189,48,4,-0.859090909090909
"pat_02689_1168",0.5,0,0,1,0
"pat_02689_1168",0.5,-57,6,2,-0.259090909090909
"pat_02689_1168",0.5,112,22,3,0.509090909090909
"pat_02689_1168",0.5,165,48,4,0.75
"pat_02689_1168",0.75,0,0,1,0
"pat_02689_1168",0.75,-76,6,2,-0.345454545454545
"pat_02689_1168",0.75,-156,22,3,-0.709090909090909
"pat_02689_1168",0.75,2,48,4,0.00909090909090909
"pat_02689_1168",0.25,0,0,1,0
"pat_02689_1168",0.25,215,6,2,0.977272727272727
"pat_02689_1168",0.25,220,22,3,1
"pat_02689_1168",0.25,219,48,4,0.995454545454545
"pat_02689_1168",0.25,51,0,1,0.231818181818182
"pat_02689_1168",0.25,113,6,2,0.513636363636364
"pat_02689_1168",0.25,110,22,3,0.5
"pat_02689_1168",0.25,178,48,4,0.809090909090909
"pat_02689_1168",0.5,0,0,1,0
"pat_02689_1168",0.5,72,6,2,0.327272727272727
"pat_02689_1168",0.5,117,22,3,0.531818181818182
"pat_02689_1168",0.5,110,48,4,0.5
"pat_02689_1168",0.75,0,0,1,0
"pat_02689_1168",0.75,-117,6,2,-0.531818181818182
"pat_02689_1168",0.75,-203,22,3,-0.922727272727273
"pat_02689_1168",0.75,-117,48,4,-0.531818181818182
"pat_02711_1193",0.25,3,0,1,0.0136363636363636
"pat_02711_1193",0.25,218,6,2,0.990909090909091
"pat_02711_1193",0.25,113,22,3,0.513636363636364
"pat_02711_1193",0.25,220,48,4,1
"pat_02711_1193",0.75,-4,0,1,-0.0181818181818182
"pat_02711_1193",0.75,0,6,2,0
"pat_02711_1193",0.75,-118,22,3,-0.536363636363636
"pat_02711_1193",0.75,-220,48,4,-1
"pat_02711_1193",0.5,-2,0,1,-0.00909090909090909
"pat_02711_1193",0.5,0,6,2,0
"pat_02711_1193",0.5,0,22,3,0
"pat_02711_1193",0.5,110,48,4,0.5
"pat_02711_1193",0.5,0,0,1,0
"pat_02711_1193",0.5,0,6,2,0
"pat_02711_1193",0.5,0,22,3,0
"pat_02711_1193",0.5,111,48,4,0.504545454545455
"pat_02711_1193",0.75,0,0,1,0
"pat_02711_1193",0.75,0,6,2,0
"pat_02711_1193",0.75,0,22,3,0
"pat_02711_1193",0.75,-119,48,4,-0.540909090909091
"pat_02711_1193",0.25,110,0,1,0.5
"pat_02711_1193",0.25,112,6,2,0.509090909090909
"pat_02711_1193",0.25,220,22,3,1
"pat_02711_1193",0.25,0,48,4,0
"pat_02718_1201",0.75,0,0,1,0
"pat_02718_1201",0.75,0,6,2,0
"pat_02718_1201",0.75,0,22,3,0
"pat_02718_1201",0.75,-3,48,4,-0.0136363636363636
"pat_02718_1201",0.25,0,0,1,0
"pat_02718_1201",0.25,98,6,2,0.445454545454545
"pat_02718_1201",0.25,-52,22,3,-0.236363636363636
"pat_02718_1201",0.25,46,48,4,0.209090909090909
"pat_02718_1201",0.5,0,0,1,0
"pat_02718_1201",0.5,114,6,2,0.518181818181818
"pat_02718_1201",0.5,0,22,3,0
"pat_02718_1201",0.5,-118,48,4,-0.536363636363636
"pat_02718_1201",0.25,0,0,1,0
"pat_02718_1201",0.25,110,6,2,0.5
"pat_02718_1201",0.25,112,22,3,0.509090909090909
"pat_02718_1201",0.25,214,48,4,0.972727272727273
"pat_02718_1201",0.75,0,0,1,0
"pat_02718_1201",0.75,-218,6,2,-0.990909090909091
"pat_02718_1201",0.75,-215,22,3,-0.977272727272727
"pat_02718_1201",0.75,-220,48,4,-1
"pat_02718_1201",0.5,0,0,1,0
"pat_02718_1201",0.5,0,6,2,0
"pat_02718_1201",0.5,0,22,3,0
"pat_02718_1201",0.5,0,48,4,0
"pat_02757_1244",0.75,-4,0,1,-0.0181818181818182
"pat_02757_1244",0.75,-112,6,2,-0.509090909090909
"pat_02757_1244",0.75,-58,22,3,-0.263636363636364
"pat_02757_1244",0.75,-114,48,4,-0.518181818181818
"pat_02757_1244",0.5,0,0,1,0
"pat_02757_1244",0.5,110,6,2,0.5
"pat_02757_1244",0.5,163,22,3,0.740909090909091
"pat_02757_1244",0.5,103,48,4,0.468181818181818
"pat_02757_1244",0.25,0,0,1,0
"pat_02757_1244",0.25,158,6,2,0.718181818181818
"pat_02757_1244",0.25,220,22,3,1
"pat_02757_1244",0.25,220,48,4,1
"pat_02757_1244",0.75,0,0,1,0
"pat_02757_1244",0.75,-116,6,2,-0.527272727272727
"pat_02757_1244",0.75,-166,22,3,-0.754545454545455
"pat_02757_1244",0.75,-170,48,4,-0.772727272727273
"pat_02757_1244",0.5,0,0,1,0
"pat_02757_1244",0.5,68,6,2,0.309090909090909
"pat_02757_1244",0.5,104,22,3,0.472727272727273
"pat_02757_1244",0.5,116,48,4,0.527272727272727
"pat_02757_1244",0.25,0,0,1,0
"pat_02757_1244",0.25,115,6,2,0.522727272727273
"pat_02757_1244",0.25,111,22,3,0.504545454545455
"pat_02757_1244",0.25,168,48,4,0.763636363636364
"pat_03092_1538",0.5,3,0,1,0.0136363636363636
"pat_03092_1538",0.5,0,6,2,0
"pat_03092_1538",0.5,0,22,3,0
"pat_03092_1538",0.5,105,48,4,0.477272727272727
"pat_03092_1538",0.75,96,0,1,0.436363636363636
"pat_03092_1538",0.75,-141,6,2,-0.640909090909091
"pat_03092_1538",0.75,-125,22,3,-0.568181818181818
"pat_03092_1538",0.75,-102,48,4,-0.463636363636364
"pat_03092_1538",0.25,-63,0,1,-0.286363636363636
"pat_03092_1538",0.25,115,6,2,0.522727272727273
"pat_03092_1538",0.25,220,22,3,1
"pat_03092_1538",0.25,220,48,4,1
"pat_03092_1538",0.25,95,0,1,0.431818181818182
"pat_03092_1538",0.25,-198,6,2,-0.9
"pat_03092_1538",0.25,121,22,3,0.55
"pat_03092_1538",0.25,-78,48,4,-0.354545454545455
"pat_03092_1538",0.5,126,0,1,0.572727272727273
"pat_03092_1538",0.5,36,6,2,0.163636363636364
"pat_03092_1538",0.5,156,22,3,0.709090909090909
"pat_03092_1538",0.5,149,48,4,0.677272727272727
"pat_03092_1538",0.75,55,0,1,0.25
"pat_03092_1538",0.75,219,6,2,0.995454545454545
"pat_03092_1538",0.75,220,22,3,1
"pat_03092_1538",0.75,220,48,4,1
"pat_03105_1551",0.5,109,0,1,0.495454545454545
"pat_03105_1551",0.5,112,6,2,0.509090909090909
"pat_03105_1551",0.5,140,22,3,0.636363636363636
"pat_03105_1551",0.5,-119,48,4,-0.540909090909091
"pat_03105_1551",0.25,-113,0,1,-0.513636363636364
"pat_03105_1551",0.25,0,6,2,0
"pat_03105_1551",0.25,220,22,3,1
"pat_03105_1551",0.25,114,48,4,0.518181818181818
"pat_03105_1551",0.75,-112,0,1,-0.509090909090909
"pat_03105_1551",0.75,0,6,2,0
